INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter 20800, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 20900, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21000, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21100, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21200, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21300, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21400, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21500, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21600, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21700, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21800, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 21900, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 22000, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 22100, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 22200, Optimal  2576, Current  2536
INFO:root:      bcspwr10.mtx: iter 22300, Optimal  2576, Current  2537
INFO:root:      bcspwr10.mtx: iter 22400, Optimal  2576, Current  2537
INFO:root:      bcspwr10.mtx: iter 22500, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 22600, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 22700, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 22800, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 22900, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23000, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23100, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23200, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23300, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23400, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23500, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23600, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23700, Optimal  2576, Current  2538
INFO:root:      bcspwr10.mtx: iter 23800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 23900, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24000, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24100, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24200, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24300, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24400, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24500, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24600, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24700, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 24900, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25000, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25100, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25200, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25300, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25400, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25500, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25600, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25700, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 25900, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26000, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26100, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26200, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26300, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26400, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26500, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26600, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26700, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 26900, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27000, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27100, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27200, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27300, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27400, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27500, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27600, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27700, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 27900, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28000, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28100, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28200, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28300, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28400, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28500, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28600, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28700, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28800, Optimal  2576, Current  2539
INFO:root:      bcspwr10.mtx: iter 28900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29100, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29500, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29600, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29700, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29800, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 29900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30100, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30500, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30600, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30700, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30800, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 30900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31100, Optimal  2576, Current  2540
